Season,Climate,City,Cooling startegy_building level,Sex,Clo,Met,Air temperature (C),Relative humidity (%),Air velocity (m/s),ThermalSensation
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.68,1,35.5,55.8,0.86,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.67,1,35.5,55.8,0.86,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.57,1,36.4,40.6,0.37,1
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.59,1,36.4,40.6,0.37,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.46,1.1,36.9,39.9,0.8,1
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.43,1.3,37.1,42.4,1.02,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.63,1,35.8,48.8,0.9,1
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.7,1,34.8,53.9,1.2,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.79,1.1,37,38.8,0.45,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.52,1.2,34.5,31.7,0.53,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.68,1.7,36,32,0.17,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.67,1.5,36.2,30,0.74,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.74,1.5,37.2,36.5,0.14,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.68,1.4,36.6,27.8,0.99,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.49,1.3,39.4,20.9,0.8,1
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.49,1,39.8,22.3,0.64,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.43,1,39.8,21.4,0.44,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.52,1,39.8,21.4,0.47,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.52,1,39.7,24,0.67,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.67,1.4,39.8,24.8,1.04,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.74,1.4,34.4,50.2,0.32,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.76,1.5,36.2,46.5,0.48,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.68,1.1,36.2,45.6,0.82,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.57,1.1,36.1,46.3,0.35,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.74,1.1,36.2,45.8,1.23,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.68,1.4,36.2,45.2,0.52,0
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.74,1.1,35.7,46.4,0.62,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.74,1.1,35.3,50,0.61,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.74,1.1,35.3,50.3,0.79,1
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.74,1.3,35.4,49.9,0.73,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.74,1.1,35.6,45.8,0.56,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.68,1.1,35.6,45.3,0.49,0
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.55,1.1,35.8,45.1,0.35,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.61,1.1,35.8,44.8,0.66,0
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.74,1,36,45,0.85,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.59,1.4,34.3,50,0.42,0
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.68,1,34,49.4,0.66,0
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.63,1.3,35,48,0.59,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.74,1.3,36.2,43.4,0.7,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.74,1.1,36.2,43.7,0.68,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.74,1.1,36.6,41.7,1,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.57,1.3,37,40.4,0.99,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.57,1.1,37.5,38,0.6,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.59,1.6,37.5,35.6,0.74,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.53,1.1,37.5,31.5,0.45,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.59,1.9,37.3,32.6,0.76,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.59,1.6,37.7,30.2,0.54,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.74,1.1,37.4,25.8,0.76,1
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.67,1.1,37.5,25.6,0.4,1
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.59,1.3,37.5,25,0.83,1
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.74,1.3,37.7,25,0.64,1
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.74,1.3,37.7,25,0.52,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.52,1.1,37.2,25.7,0.64,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.68,1.1,37.4,25.3,0.23,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.53,1.1,36.6,30.8,0.67,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.53,1.1,35.6,32.5,0.51,1
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.6,1.1,36.2,31.4,0.91,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.57,1.1,37.6,28.3,0.48,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.42,1.1,36.9,30.8,0.45,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.7,1.6,36.9,30.2,0.44,1
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.64,1,34.5,49.1,0.31,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.75,1.2,35.2,47,0.67,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.9,1.1,35,46.7,0.91,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.74,1.1,34.9,46.8,0.79,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.68,1.4,35,46.8,0.78,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.67,1.3,34.9,46.6,0.84,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.9,1.1,34.9,46.4,0.91,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.69,1.1,35.2,47.6,0.38,1
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.64,1.1,35.5,45.6,0.5,1
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.58,1.1,36.2,43.8,0.67,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.58,1.1,36.3,41.5,0.58,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.58,1.1,36.2,41.5,0.25,1
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.62,1.1,36.9,41.5,0.45,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.63,1.1,37.1,41.6,0.73,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.7,1.1,37.2,41.2,0.62,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.7,1.1,36.7,43.7,0.28,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.64,1.1,36.8,42.4,0.25,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.7,1.2,36.6,42.3,0.18,1
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.58,1.1,37.3,40.9,0.39,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.7,1.1,37.1,41.4,0.51,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.64,1.2,36.3,39.7,1.04,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.6,1.2,35.1,37.5,0.79,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.7,1.1,37.9,31,0.17,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.64,1.1,38.1,31.7,0.73,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.53,1,37.7,25.6,0.45,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.58,1,36.9,28.6,0.43,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.52,1.1,38,25.1,0.2,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.46,1.1,38.7,24,0.23,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.55,1.1,39.4,21.3,0.98,1
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.52,1.1,39.4,22.3,0.25,0
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.55,1.1,38.3,24.1,0.78,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.55,1.1,37.9,24.6,0.32,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Female,0.42,1.1,33.1,57.6,0.37,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.63,1.1,33.3,56.2,0.43,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.7,1.1,33.4,56.1,0.51,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.58,1.1,33.6,54.2,0.35,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.68,1.1,33.6,55.4,0.55,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Female,0.63,1.1,33.6,55.2,1.09,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.61,1.3,33.7,54.3,0.32,0
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.73,1.3,33.6,54.9,0.74,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.72,1.1,33.5,53.9,0.52,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.7,1.1,33.5,54.6,0.43,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Female,0.57,1.1,33.6,54.9,0.32,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.79,1.1,33.6,54.2,0.44,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.66,1.1,33.5,54.6,0.42,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.64,1.1,33.5,54.1,0.28,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.72,1.6,33.4,53.6,1.05,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Female,0.42,1.1,33.6,51.6,0.49,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.79,1.3,33.6,51.3,0.29,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.79,1.1,33.6,51.5,0.72,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.79,1.1,33.6,50.5,0.28,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.79,1.1,33.5,51.7,0.45,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.79,1.1,33.7,47.7,0.47,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.73,1.1,33.8,48,0.68,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Female,0.64,1.3,34.1,46.5,0.4,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Female,0.57,1.1,34.2,47.2,0.58,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Female,0.48,1.1,34,47.6,0.72,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.58,1.1,34.6,47.2,1.3,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.64,1.1,34.4,48.3,1.08,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.64,1.1,34,47.3,0.37,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.57,1.1,34,47.4,0.6,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.79,1.1,34.4,45.4,0.4,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.79,1.1,34.8,42.2,0.52,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Female,0.48,1.1,34.1,44.7,0.81,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.79,1.1,34.1,42.2,0.31,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.57,1.1,34.4,40.7,0.43,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.64,1.6,34.4,40.9,0.51,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.79,1.1,34.8,36.1,0.36,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.73,1.1,34.9,36.3,0.35,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.64,1.1,34.7,37.2,0.36,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.73,1.1,34.4,39.3,0.37,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.79,1.4,34.8,35.7,0.53,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.79,1.4,34.6,38.6,0.39,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Female,0.57,1.1,34.6,39.6,0.36,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.64,1.1,34.4,41.2,0.51,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.72,1.1,34.4,42.1,0.63,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.58,1.1,34.4,43,0.56,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.72,1.1,34.1,40.7,0.63,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.73,1.1,33.8,42,0.6,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.79,1.1,33.7,42.5,0.41,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.73,1.1,33.8,41,0.38,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.73,1.1,34.1,38.3,0.5,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Female,0.63,1,33.3,52.9,0.27,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Female,0.58,1,33.1,53.4,0.35,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Female,0.78,1.2,33.4,55.8,0.59,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Female,0.78,1,33.5,54.7,0.68,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Female,0.63,1,33.3,52.7,0.38,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.68,1,33.2,52.5,0.42,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.62,1,33.4,52.2,0.48,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.68,1.2,33.5,55.1,0.82,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.65,1.2,33.8,54,0.59,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Female,0.58,1,34.1,54,0.55,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.43,1,34.2,53.6,0.42,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.54,1,34,51.4,0.45,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.53,1,33.9,52.8,0.22,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.46,1,33.8,52.4,0.66,0
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.67,1,33.7,52.7,0.36,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.53,1.3,33.5,52.3,0.78,0
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Female,0.43,1.2,34.1,52.3,0.51,0
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Female,0.43,1,34.1,52.7,0.29,0
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.77,1.4,34,50.9,0.55,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.68,1,34,51.2,0.33,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.53,1.2,34.3,49.6,0.58,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.46,1,34.2,49.7,0.67,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.74,1.1,34.3,49.1,0.55,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.61,1,34.3,48.2,0.86,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.62,1.1,34.5,48.9,0.36,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.78,1.1,34.3,46.6,0.83,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.68,1,34.3,45.9,0.51,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.53,1,34.5,45.1,0.52,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.67,1,34.4,44.5,0.22,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.55,1,34.5,44.4,0.4,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.78,1,34.5,46.6,0.46,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.63,1,34.7,45.9,0.43,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.68,1,34.7,46.2,0.47,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.74,1,34.5,45.9,0.42,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.68,1.1,34.7,46.2,0.42,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.74,1.1,34.8,45.7,0.69,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.67,1.2,34.9,45.1,0.18,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.61,1,34.7,45.1,0.8,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.64,1,34.6,44.8,0.22,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.59,1.5,34.5,45.1,0.5,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.68,1,34.8,40.2,0.57,0
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.74,1,34.6,40.5,0.19,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.59,1.1,35.2,38.7,0.44,0
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.59,1.7,33.8,41.2,0.26,0
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.74,1.4,33.6,41.2,0.38,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.74,1.2,33.7,41.5,0.29,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.63,1.1,33.8,41.5,1.04,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.63,1.4,34.1,40.2,0.56,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.59,1.3,33.9,39.9,0.68,0
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.59,1.1,33.6,39.7,2.18,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.74,1.4,33.8,58.4,0.61,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.74,1.1,33.1,56.7,0.36,0
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.74,1.1,33,57.1,0.46,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.74,1.1,32.9,56,0.31,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.59,1.1,33,56.7,0.46,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.74,1.1,33,55.5,0.53,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Female,0.42,1.1,33,54.8,0.79,3
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.74,1.4,33,55.7,0.37,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.7,1.1,33,55.6,0.39,0
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.74,1.1,33.4,54.9,0.42,0
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.74,1.1,33.2,54.8,0.49,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.74,1.1,33.4,54.8,0.51,1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Female,0.42,1.1,33.4,54.3,0.64,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Female,0.78,1.1,33.2,54.5,0.38,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.74,1.1,33.2,55.3,0.35,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.74,1.1,33.3,55.6,0.73,-1
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Female,0.78,1,33.2,54.8,0.24,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.68,1.1,33.3,54.5,1.25,2
Summer,Hot semi-arid,Ahmedabad,Mixed Mode,Male,0.59,1.3,33.4,54.8,0.22,2
